Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
6-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica,Chile,Soviet Union,2,1,Uruguay, ,Soviet Union,,,
6-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Viña del Mar,Chile,Brazil,2,1,Spain, ,Brazil,,,
6-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua,Chile,Hungary,0,0,Argentina, ,Tie,,,
6-Jun-62, 15:00 ,Group 2,Nacional,Santiago,Chile,Germany FR,2,0,Chile, ,Germany FR,,,
7-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica,Chile,Yugoslavia,5,0,Colombia, ,Yugoslavia,,,
7-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Viña del Mar,Chile,Mexico,3,1,Czechoslovakia, ,Mexico,,,
7-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua,Chile,England,0,0,Bulgaria, ,Tie,,,
7-Jun-62, 15:00 ,Group 2,Nacional,Santiago,Chile,Italy,3,0,Switzerland, ,Italy,,,
10-Jun-62, 14:30 ,Quarter-finals,Carlos Dittborn,Arica,Chile,Chile,2,1,Soviet Union, ,Chile,,,
10-Jun-62, 14:30 ,Quarter-finals,Estadio Sausalito,Viña del Mar,Chile,Brazil,3,1,England, ,Brazil,,,
10-Jun-62, 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Rancagua,Chile,Czechoslovakia,1,0,Hungary, ,Czechoslovakia,,,
10-Jun-62, 14:30 ,Quarter-finals,Nacional,Santiago,Chile,Yugoslavia,1,0,Germany FR, ,Yugoslavia,,,
13-Jun-62, 14:30 ,Semi-finals,Estadio Sausalito,Viña del Mar,Chile,Czechoslovakia,3,1,Yugoslavia, ,Czechoslovakia,,,
13-Jun-62, 14:30 ,Semi-finals,Nacional,Santiago,Chile,Brazil,4,2,Chile, ,Brazil,,,
16-Jun-62, 14:30 ,Match for third place,Nacional,Santiago,Chile,Chile,1,0,Yugoslavia, ,Chile,,,
17-Jun-62, 14:30 ,Final,Nacional,Santiago,Chile,Brazil,3,1,Czechoslovakia, ,Brazil,,,
11-Jul-66, 19:30 ,Group 1,Wembley Stadium,London,England,England,0,0,Uruguay, ,Tie,,,
12-Jul-66, 19:30 ,Group 2,Hillsborough,Sheffield,England,Germany FR,5,0,Switzerland, ,Germany FR,,,
12-Jul-66, 19:30 ,Group 3,Goodison Park,Liverpool,England,Brazil,2,0,Bulgaria, ,Brazil,,,
12-Jul-66, 19:30 ,Group 4,Ayresome Park,Middlesbrough ,England,Soviet Union,3,0,Korea DPR, ,Soviet Union,,,
13-Jul-66, 19:30 ,Group 1,Wembley Stadium,London,England,France,1,1,Mexico, ,Tie,,,
13-Jul-66, 19:30 ,Group 3,Old Trafford Stadium,Manchester,England,Portugal,3,1,Hungary, ,Portugal,,,
13-Jul-66, 19:30 ,Group 2,Villa Park,Birmingham,England,Argentina,2,1,Spain, ,Argentina,,,
13-Jul-66, 19:30 ,Group 4,Roker Park Ground,Sunderland ,England,Italy,2,0,Chile, ,Italy,,,
15-Jul-66, 19:30 ,Group 1,White City,London,England,Uruguay,2,1,France, ,Uruguay,,,
15-Jul-66, 19:30 ,Group 2,Hillsborough,Sheffield,England,Spain,2,1,Switzerland, ,Spain,,,
15-Jul-66, 19:30 ,Group 3,Goodison Park,Liverpool,England,Hungary,3,1,Brazil, ,Hungary,,,
15-Jul-66, 19:30 ,Group 4,Ayresome Park,Middlesbrough ,England,Korea DPR,1,1,Chile, ,Tie,,,
16-Jul-66, 15:00 ,Group 3,Old Trafford Stadium,Manchester,England,Portugal,3,0,Bulgaria, ,Portugal,,,
16-Jul-66, 15:00 ,Group 2,Villa Park,Birmingham,England,Germany FR,0,0,Argentina, ,Tie,,,
16-Jul-66, 15:00 ,Group 4,Roker Park Ground,Sunderland ,England,Soviet Union,1,0,Italy, ,Soviet Union,,,
16-Jul-66, 19:30 ,Group 1,Wembley Stadium,London,England,England,2,0,Mexico, ,England,,,
19-Jul-66, 16:30 ,Group 1,Wembley Stadium,London,England,Uruguay,0,0,Mexico, ,Tie,,,
19-Jul-66, 19:30 ,Group 2,Hillsborough,Sheffield,England,Argentina,2,0,Switzerland, ,Argentina,,,
19-Jul-66, 19:30 ,Group 3,Goodison Park,Liverpool,England,Portugal,3,1,Brazil, ,Portugal,,,
19-Jul-66, 19:30 ,Group 4,Ayresome Park,Middlesbrough ,England,Korea DPR,1,0,Italy, ,Korea DPR,,,
20-Jul-66, 19:30 ,Group 1,Wembley Stadium,London,England,England,2,0,France, ,England,,,
20-Jul-66, 19:30 ,Group 3,Old Trafford Stadium,Manchester,England,Hungary,3,1,Bulgaria, ,Hungary,,,
20-Jul-66, 19:30 ,Group 2,Villa Park,Birmingham,England,Germany FR,2,1,Spain, ,Germany FR,,,
20-Jul-66, 19:30 ,Group 4,Roker Park Ground,Sunderland ,England,Soviet Union,2,1,Chile, ,Soviet Union,,,
23-Jul-66, 15:00 ,Quarter-finals,Wembley Stadium,London,England,England,1,0,Argentina, ,England,,,
23-Jul-66, 15:00 ,Quarter-finals,Hillsborough,Sheffield,England,Germany FR,4,0,Uruguay, ,Germany FR,,,
23-Jul-66, 15:00 ,Quarter-finals,Roker Park Ground,Sunderland ,England,Soviet Union,2,1,Hungary, ,Soviet Union,,,
23-Jul-66, 15:00 ,Quarter-finals,Goodison Park,Liverpool,England,Portugal,5,3,Korea DPR, ,Portugal,,,
25-Jul-66, 19:30 ,Semi-finals,Goodison Park,Liverpool,England,Germany FR,2,1,Soviet Union, ,Germany FR,,,
26-Jul-66, 19:30 ,Semi-finals,Wembley Stadium,London,England,England,2,1,Portugal, ,England,,,
28-Jul-66, 19:30 ,Match for third place,Wembley Stadium,London,England,Portugal,2,1,Soviet Union, ,Portugal,,,
30-Jul-66, 15:00 ,Final,Wembley Stadium,London,England,England,4,2,Germany FR,England win after extra time ,England,,,
31-May-70, 12:00 ,Group 1,Estadio Azteca,Mexico City,Mexico,Mexico,0,0,Soviet Union, ,Tie,,,
2-Jun-70, 16:00 ,Group 2,Cuauhtemoc,Puebla,Mexico,Uruguay,2,0,Israel, ,Uruguay,,,
2-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Leon,"León, Guanajuato",Mexico,Peru,3,2,Bulgaria, ,Peru,,,
2-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara,Mexico,England,1,0,Romania, ,England,,,
3-Jun-70, 16:00 ,Group 2,Luis Dosal,Toluca,Mexico,Italy,1,0,Sweden, ,Italy,,,
3-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Leon,Leon ,Mexico,Germany FR,2,1,Morocco, ,Germany FR,,,
3-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara,Mexico,Brazil,4,1,Czechoslovakia, ,Brazil,,,
3-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City,Mexico,Belgium,3,0,El Salvador, ,Belgium,,,
6-Jun-70, 16:00 ,Group 2,Cuauhtemoc,Puebla,Mexico,Uruguay,0,0,Italy, ,Tie,,,
6-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Leon,Leon ,Mexico,Peru,3,0,Morocco, ,Peru,,,
6-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara,Mexico,Romania,2,1,Czechoslovakia, ,Romania,,,
6-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City,Mexico,Soviet Union,4,1,Belgium, ,Soviet Union,,,
7-Jun-70, 12:00 ,Group 2,Luis Dosal,Toluca,Mexico,Sweden,1,1,Israel, ,Tie,,,
7-Jun-70, 12:00 ,Group 4,Nou Camp - Estadio Leon,Leon ,Mexico,Germany FR,5,2,Bulgaria, ,Germany FR,,,
7-Jun-70, 12:00 ,Group 3,Jalisco,Guadalajara,Mexico,Brazil,1,0,England, ,Brazil,,,
7-Jun-70, 12:00 ,Group 1,Estadio Azteca,Mexico City,Mexico,Mexico,4,0,El Salvador, ,Mexico,,,
10-Jun-70, 16:00 ,Group 2,Cuauhtemoc,Puebla,Mexico,Sweden,1,0,Uruguay, ,Sweden,,,
10-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Leon,Leon ,Mexico,Germany FR,3,1,Peru, ,Germany FR,,,
10-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara,Mexico,Brazil,3,2,Romania, ,Brazil,,,
10-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City,Mexico,Soviet Union,2,0,El Salvador, ,Soviet Union,,,
11-Jun-70, 16:00 ,Group 2,Luis Dosal,Toluca,Mexico,Italy,0,0,Israel, ,Tie,,,
11-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Leon,Leon ,Mexico,Bulgaria,1,1,Morocco, ,Tie,,,
11-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara,Mexico,England,1,0,Czechoslovakia, ,England,,,
11-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City,Mexico,Mexico,1,0,Belgium, ,Mexico,,,
14-Jun-70, 12:00 ,Quarter-finals,Luis Dosal,Toluca,Mexico,Italy,4,1,Mexico, ,Italy,,,
14-Jun-70, 12:00 ,Quarter-finals,Nou Camp - Estadio Leon,Leon ,Mexico,Germany FR,3,2,England,Germany FR win after extra time ,Germany FR,,,
14-Jun-70, 12:00 ,Quarter-finals,Jalisco,Guadalajara,Mexico,Brazil,4,2,Peru, ,Brazil,,,
14-Jun-70, 12:00 ,Quarter-finals,Estadio Azteca,Mexico City,Mexico,Uruguay,1,0,Soviet Union,Uruguay win after extra time ,Uruguay,,,
17-Jun-70, 16:00 ,Semi-finals,Jalisco,Guadalajara,Mexico,Brazil,3,1,Uruguay, ,Brazil,,,
17-Jun-70, 16:00 ,Semi-finals,Estadio Azteca,Mexico City,Mexico,Italy,4,3,Germany FR,Italy win after extra time ,Italy,,,
20-Jun-70, 16:00 ,Match for third place,Estadio Azteca,Mexico City,Mexico,Germany FR,1,0,Uruguay, ,Germany FR,,,
21-Jun-70, 12:00 ,Final,Estadio Azteca,Mexico City,Mexico,Brazil,4,1,Italy, ,Brazil,,,
13-Jun-74, 17:00 ,Group 2,Waldstadion,Frankfurt,Germany,Brazil,0,0,Yugoslavia, ,Tie,,,
14-Jun-74, 16:00 ,Group 1,Olympiastadion,Berlin West ,Germany,Germany FR,1,0,Chile, ,Germany FR,,,
14-Jun-74, 19:30 ,Group 1,Volksparkstadion,Hamburg,Germany,German DR,2,0,Australia, ,German DR,,,
14-Jun-74, 19:30 ,Group 2,Westfalenstadion,Dortmund,Germany,Zaire,0,2,Scotland, ,Scotland,,,
15-Jun-74, 16:00 ,Group 3,Niedersachsenstadion,Hanover,Germany,Uruguay,0,2,Netherlands, ,Netherlands,,,
15-Jun-74, 16:00 ,Group 3,Rheinstadion,Düsseldorf,Germany,Sweden,0,0,Bulgaria, ,Tie,,,
15-Jun-74, 18:00 ,Group 4,Olympiastadion,Munich,Germany,Italy,3,1,Haiti, ,Italy,,,
15-Jun-74, 18:00 ,Group 4,Neckarstadion,Stuttgart,Germany,Poland,3,2,Argentina, ,Poland,,,
18-Jun-74, 16:00 ,Group 1,Volksparkstadion,Hamburg,Germany,Australia,0,3,Germany FR, ,Germany FR,,,
18-Jun-74, 19:30 ,Group 2,Waldstadion,Frankfurt,Germany,Scotland,0,0,Brazil, ,Tie,,,
18-Jun-74, 19:30 ,Group 1,Olympiastadion,Berlin West ,Germany,Chile,1,1,German DR, ,Tie,,,
18-Jun-74, 19:30 ,Group 2,Parkstadion,Gelsenkirchen,Germany,Yugoslavia,9,0,Zaire, ,Yugoslavia,,,
19-Jun-74, 19:30 ,Group 3,Westfalenstadion,Dortmund,Germany,Netherlands,0,0,Sweden, ,Tie,,,
19-Jun-74, 19:30 ,Group 3,Niedersachsenstadion,Hanover,Germany,Bulgaria,1,1,Uruguay, ,Tie,,,
19-Jun-74, 19:30 ,Group 4,Olympiastadion,Munich,Germany,Haiti,0,7,Poland, ,Poland,,,
19-Jun-74, 19:30 ,Group 4,Neckarstadion,Stuttgart,Germany,Argentina,1,1,Italy, ,Tie,,,
22-Jun-74, 16:00 ,Group 2,Waldstadion,Frankfurt,Germany,Scotland,1,1,Yugoslavia, ,Tie,,,
22-Jun-74, 16:00 ,Group 1,Olympiastadion,Berlin West ,Germany,Australia,0,0,Chile, ,Tie,,,
22-Jun-74, 16:00 ,Group 2,Parkstadion,Gelsenkirchen,Germany,Zaire,0,3,Brazil, ,Brazil,,,
22-Jun-74, 19:30 ,Group 1,Volksparkstadion,Hamburg,Germany,German DR,1,0,Germany FR, ,German DR,,,
23-Jun-74, 16:00 ,Group 3,Westfalenstadion,Dortmund,Germany,Bulgaria,1,4,Netherlands, ,Netherlands,,,
23-Jun-74, 16:00 ,Group 4,Olympiastadion,Munich,Germany,Argentina,4,1,Haiti, ,Argentina,,,
23-Jun-74, 16:00 ,Group 3,Rheinstadion,Düsseldorf,Germany,Sweden,3,0,Uruguay, ,Sweden,,,
23-Jun-74, 16:00 ,Group 4,Neckarstadion,Stuttgart,Germany,Poland,2,1,Italy, ,Poland,,,
26-Jun-74, 16:00 ,Group B,Rheinstadion,Düsseldorf,Germany,Yugoslavia,0,2,Germany FR, ,Germany FR,,,
26-Jun-74, 19:30 ,Group A,Niedersachsenstadion,Hanover,Germany,Brazil,1,0,German DR, ,Brazil,,,
26-Jun-74, 19:30 ,Group A,Parkstadion,Gelsenkirchen,Germany,Netherlands,4,0,Argentina, ,Netherlands,,,
26-Jun-74, 19:30 ,Group B,Neckarstadion,Stuttgart,Germany,Sweden,0,1,Poland, ,Poland,,,
30-Jun-74, 16:00 ,Group A,Niedersachsenstadion,Hanover,Germany,Argentina,1,2,Brazil, ,Brazil,,,
30-Jun-74, 16:00 ,Group B,Waldstadion,Frankfurt,Germany,Poland,2,1,Yugoslavia, ,Poland,,,
30-Jun-74, 16:00 ,Group A,Parkstadion,Gelsenkirchen,Germany,German DR,0,2,Netherlands, ,Netherlands,,,
30-Jun-74, 19:30 ,Group B,Rheinstadion,Düsseldorf,Germany,Germany FR,4,2,Sweden, ,Germany FR,,,
3-Jul-74, 17:00 ,Group B,Waldstadion,Frankfurt,Germany,Poland,0,1,Germany FR, ,Germany FR,,,
3-Jul-74, 19:30 ,Group A,Westfalenstadion,Dortmund,Germany,Netherlands,2,0,Brazil, ,Netherlands,,,
3-Jul-74, 19:30 ,Group A,Parkstadion,Gelsenkirchen,Germany,Argentina,1,1,German DR, ,Tie,,,
3-Jul-74, 19:30 ,Group B,Rheinstadion,Düsseldorf,Germany,Sweden,2,1,Yugoslavia, ,Sweden,,,
6-Jul-74, 16:00 ,Match for third place,Olympiastadion,Munich,Germany,Brazil,0,1,Poland, ,Poland,,,
7-Jul-74, 16:00 ,Final,Olympiastadion,Munich,Germany,Netherlands,1,2,Germany FR, ,Germany FR,,,
1-Jun-78, 15:00 ,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Germany FR,0,0,Poland, ,Tie,,,
2-Jun-78, 13:45 ,Group 1,Estadio José María Minella,Mar del Plata,Argentina,Italy,2,1,France, ,Italy,,,
2-Jun-78, 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,Argentina,Tunisia,3,1,Mexico, ,Tunisia,,,
2-Jun-78, 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Argentina,2,1,Hungary, ,Argentina,,,
3-Jun-78, 13:45 ,Group 3,Estadio José María Minella,Mar del Plata,Argentina,Sweden,1,1,Brazil, ,Tie,,,
3-Jun-78, 13:45 ,Group 3,Jose Amalfitani,Buenos Aires,Argentina,Austria,2,1,Spain, ,Austria,,,
3-Jun-78, 16:45 ,Group 4,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Peru,3,1,Scotland, ,Peru,,,
3-Jun-78, 16:45 ,Group 4,San Martin,"Mendoza, Argentina",Argentina,Netherlands,3,0,IR Iran, ,Netherlands,,,
6-Jun-78, 13:45 ,Group 1,Estadio José María Minella,Mar del Plata,Argentina,Italy,3,1,Hungary, ,Italy,,,
6-Jun-78, 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,Argentina,Poland,1,0,Tunisia, ,Poland,,,
6-Jun-78, 16:45 ,Group 2,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Germany FR,6,0,Mexico, ,Germany FR,,,
6-Jun-78, 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Argentina,2,1,France, ,Argentina,,,
7-Jun-78, 13:45 ,Group 3,Estadio José María Minella,Mar del Plata,Argentina,Brazil,0,0,Spain, ,Tie,,,
7-Jun-78, 13:45 ,Group 3,Jose Amalfitani,Buenos Aires,Argentina,Austria,1,0,Sweden, ,Austria,,,
7-Jun-78, 16:45 ,Group 4,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Scotland,1,1,IR Iran, ,Tie,,,
7-Jun-78, 16:45 ,Group 4,San Martin,"Mendoza, Argentina",Argentina,Netherlands,0,0,Peru, ,Tie,,,
10-Jun-78, 15:10 ,Group 1,Estadio José María Minella,Mar del Plata,Argentina,France,3,1,Hungary, ,France,,,
10-Jun-78, 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,Argentina,Poland,3,1,Mexico, ,Poland,,,
10-Jun-78, 16:45 ,Group 2,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Germany FR,0,0,Tunisia, ,Tie,,,
10-Jun-78, 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Italy,1,0,Argentina, ,Italy,,,
11-Jun-78, 13:45 ,Group 3,Estadio José María Minella,Mar del Plata,Argentina,Brazil,1,0,Austria, ,Brazil,,,
11-Jun-78, 13:45 ,Group 3,Jose Amalfitani,Buenos Aires,Argentina,Spain,1,0,Sweden, ,Spain,,,
11-Jun-78, 16:45 ,Group 4,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Peru,4,1,Iran, ,Peru,,,
11-Jun-78, 16:45 ,Group 4,San Martin,"Mendoza, Argentina",Argentina,Scotland,3,2,Netherlands, ,Scotland,,,
14-Jun-78, 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Germany FR,0,0,Italy, ,Tie,,,
14-Jun-78, 13:45 ,Group A,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Netherlands,5,1,Austria, ,Netherlands,,,
14-Jun-78, 16:45 ,Group B,San Martin,"Mendoza, Argentina",Argentina,Brazil,3,0,Peru, ,Brazil,,,
14-Jun-78, 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,Argentina,Argentina,2,0,Poland, ,Argentina,,,
18-Jun-78, 13:45 ,Group B,San Martin,"Mendoza, Argentina",Argentina,Poland,1,0,Peru, ,Poland,,,
18-Jun-78, 16:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Italy,1,0,Austria, ,Italy,,,
18-Jun-78, 16:45 ,Group A,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Germany FR,2,2,Netherlands, ,Tie,,,
18-Jun-78, 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,Argentina,Argentina,0,0,Brazil, ,Tie,,,
21-Jun-78, 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Netherlands,2,1,Italy, ,Netherlands,,,
21-Jun-78, 13:45 ,Group A,Estadio Olímpico Chateau Carreras,"Córdoba, Argentina",Argentina,Austria,3,2,Germany FR, ,Austria,,,
21-Jun-78, 16:45 ,Group B,San Martin,"Mendoza, Argentina",Argentina,Brazil,3,1,Poland, ,Brazil,,,
21-Jun-78, 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario,Argentina,Argentina,6,0,Peru, ,Argentina,,,
24-Jun-78, 15:00 ,Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Brazil,2,1,Italy, ,Brazil,,,
25-Jun-78, 15:00 ,Final,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,Argentina,Argentina,3,1,Netherlands,Argentina win after extra time ,Argentina,,,
13-Jun-82, 20:00 ,Group 3,Camp Nou,Barcelona,Spain,Argentina,0,1,Belgium, ,Belgium,,,
14-Jun-82, 17:15 ,Group 1,Estadio Municipal de Balaï¿½dos,Vigo,Spain,Italy,0,0,Poland, ,Tie,,,
14-Jun-82, 21:00 ,Group 6,Ramon Sanchez Pizjuan,Seville,Spain,Brazil,2,1,Soviet Union, ,Brazil,,,
15-Jun-82, 17:15 ,Group 1,Riazor,A Coruña,Spain,Peru,0,0,Cameroon, ,Tie,,,
15-Jun-82, 21:00 ,Group 3,Nuevo Estadio,Elche,Spain,Hungary,10,1,El Salvador, ,Hungary,,,
15-Jun-82, 21:00 ,Group 6,La Rosaleda,Málaga,Spain,Scotland,5,2,New Zealand, ,Scotland,,,
16-Jun-82, 17:15 ,Group 2,El Molinon,Gijón,Spain,Germany FR,1,2,Algeria, ,Algeria,,,
16-Jun-82, 17:15 ,Group 4,San Mames,Bilbao,Spain,England,3,1,France, ,England,,,
16-Jun-82, 21:00 ,Group 5,Luis Casanova,Valencia,Spain,Spain,1,1,Honduras, ,Tie,,,
17-Jun-82, 17:15 ,Group 2,Carlos Tartiere,Oviedo,Spain,Chile,0,1,Austria, ,Austria,,,
17-Jun-82, 17:45 ,Group 4,Jose Zorrilla,Valladolid,Spain,Czechoslovakia,1,1,Kuwait, ,Tie,,,
17-Jun-82, 21:00 ,Group 5,La Romareda,Zaragoza,Spain,Yugoslavia,0,0,Northern Ireland, ,Tie,,,
18-Jun-82, 17:15 ,Group 1,Estadio de Balaídos,Vigo,Spain,Italy,1,1,Peru, ,Tie,,,
18-Jun-82, 21:00 ,Group 3,Jose Rico Perez,Alicante,Spain,Argentina,4,1,Hungary, ,Argentina,,,
18-Jun-82, 21:00 ,Group 6,Benito Villamarin,Seville,Spain,Brazil,4,1,Scotland, ,Brazil,,,
19-Jun-82, 19:15 ,Group 1,Riazor,A Coruña,Spain,Poland,0,0,Cameroon, ,Tie,,,
19-Jun-82, 21:00 ,Group 3,Nuevo Estadio,Elche,Spain,Belgium,1,0,El Salvador, ,Belgium,,,
19-Jun-82, 21:00 ,Group 6,La Rosaleda,Málaga,Spain,Soviet Union,3,0,New Zealand, ,Soviet Union,,,
20-Jun-82, 17:15 ,Group 2,El Molinon,Gijón,Spain,Germany FR,4,1,Chile, ,Germany FR,,,
20-Jun-82, 17:15 ,Group 4,San Mames,Bilbao,Spain,England,2,0,Czechoslovakia, ,England,,,
20-Jun-82, 21:00 ,Group 5,Luis Casanova,Valencia,Spain,Spain,2,1,Yugoslavia, ,Spain,,,
21-Jun-82, 17:15 ,Group 2,Carlos Tartiere,Oviedo,Spain,Algeria,0,2,Austria, ,Austria,,,
21-Jun-82, 17:15 ,Group 4,Jose Zorrilla,Valladolid,Spain,France,4,1,Kuwait, ,France,,,
21-Jun-82, 21:00 ,Group 5,La Romareda,Zaragoza,Spain,Honduras,1,1,Northern Ireland, ,Tie,,,
22-Jun-82, 17:15 ,Group 1,Riazor,A Coruña,Spain,Poland,5,1,Peru, ,Poland,,,
22-Jun-82, 21:00 ,Group 3,Nuevo Estadio,Elche,Spain,Belgium,1,1,Hungary, ,Tie,,,
22-Jun-82, 21:00 ,Group 6,La Rosaleda,Málaga,Spain,Soviet Union,2,2,Scotland, ,Tie,,,
23-Jun-82, 17:15 ,Group 1,Estadio de Balaídos,Vigo,Spain,Italy,1,1,Cameroon, ,Tie,,,
23-Jun-82, 21:00 ,Group 3,Jose Rico Perez,Alicante,Spain,Argentina,2,0,El Salvador, ,Argentina,,,
23-Jun-82, 21:00 ,Group 6,Benito Villamarin,Seville,Spain,Brazil,4,0,New Zealand, ,Brazil,,,
24-Jun-82, 17:15 ,Group 2,Carlos Tartiere,Oviedo,Spain,Algeria,3,2,Chile, ,Algeria,,,
24-Jun-82, 17:15 ,Group 4,Jose Zorrilla,Valladolid,Spain,France,1,1,Czechoslovakia, ,Tie,,,
24-Jun-82, 21:00 ,Group 5,La Romareda,Zaragoza,Spain,Honduras,0,1,Yugoslavia, ,Yugoslavia,,,
25-Jun-82, 17:15 ,Group 2,El Molinon,Gijón,Spain,Germany FR,1,0,Austria, ,Germany FR,,,
25-Jun-82, 17:15 ,Group 4,San Mames,Bilbao,Spain,England,1,0,Kuwait, ,England,,,
25-Jun-82, 21:00 ,Group 5,Luis Casanova,Valencia,Spain,Northern Ireland,1,0,Spain, ,Northern Ireland,,,
28-Jun-82, 17:15 ,Group 4,Vicente Calderon,Madrid,Spain,Austria,0,1,France, ,France,,,
28-Jun-82, 21:00 ,Group 1,Camp Nou,Barcelona,Spain,Poland,3,0,Belgium, ,Poland,,,
29-Jun-82, 17:15 ,Group 3,Sarria,Barcelona,Spain,Italy,2,1,Argentina, ,Italy,,,
29-Jun-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid,Spain,Germany FR,0,0,England, ,Tie,,,
1-Jul-82, 17:15 ,Group 4,Vicente Calderon,Madrid,Spain,Austria,2,2,Northern Ireland, ,Tie,,,
1-Jul-82, 21:00 ,Group 1,Camp Nou,Barcelona,Spain,Belgium,0,1,Soviet Union, ,Soviet Union,,,
2-Jul-82, 17:15 ,Group 3,Sarria,Barcelona,Spain,Argentina,1,3,Brazil, ,Brazil,,,
2-Jul-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid,Spain,Germany FR,2,1,Spain, ,Germany FR,,,
4-Jul-82, 17:15 ,Group 4,Vicente Calderon,Madrid,Spain,France,4,1,Northern Ireland, ,France,,,
4-Jul-82, 21:00 ,Group 1,Camp Nou,Barcelona,Spain,Poland,0,0,Soviet Union, ,Tie,,,
5-Jul-82, 17:15 ,Group 3,Sarria,Barcelona,Spain,Italy,3,2,Brazil, ,Italy,,,
5-Jul-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid,Spain,Spain,0,0,England, ,Tie,,,
8-Jul-82, 17:15 ,Semi-finals,Camp Nou,Barcelona,Spain,Poland,0,2,Italy, ,Italy,,,
8-Jul-82, 21:00 ,Semi-finals,Ramon Sanchez Pizjuan,Seville,Spain,Germany FR,3,3,France, win on penalties (5 - 4) ,Tie,5,4,Germany FR
10-Jul-82, 20:00 ,Match for third place,Jose Rico Perez,Alicante,Spain,Poland,3,2,France, ,Poland,,,
11-Jul-82, 20:00 ,Final,Santiago Bernabeu,Madrid,Spain,Italy,3,1,Germany FR, ,Italy,,,
31-May-86, 12:00 ,Group A,Estadio Azteca,Mexico City,Mexico,Bulgaria,1,1,Italy, ,Tie,,,
1-Jun-86, 16:00 ,Group C,Nou Camp - Estadio Leon,Leon ,Mexico,Canada,0,1,France, ,France,,,
1-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara,Mexico,Spain,0,1,Brazil, ,Brazil,,,
2-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato,Mexico,Soviet Union,6,0,Hungary, ,Soviet Union,,,
2-Jun-86, 12:00 ,Group A,Estadio Olímpico Universitario,Mexico City,Mexico,Argentina,3,1,Korea Republic, ,Argentina,,,
2-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey,Mexico,Morocco,0,0,Poland, ,Tie,,,
